setor;pop;sigilo_pop;dom;sigilo_dom;mulheres;sigilo_mulheres;c0_4;sigilo_c0_4;c5_9;sigilo_c5_9;i60_69;sigilo_i60_69;i70m;sigilo_i70m;indigenas;sigilo_indigenas;pretos_pardos;sigilo_pretos_pardos;dom_ocupados;sigilo_dom_ocupados;dom_agua;sigilo_dom_agua;dom_esgoto;sigilo_dom_esgoto;renda_resp;sigilo_renda_resp;n_resp;sigilo_n_resp;area_pct_bacia;metodo_recorte_bacia;dens;sigilo_dens;pop_n_validos;pop_n_total;pop_completude;dom_n_validos;dom_n_total;dom_completude;dom_ocupados_n_validos;dom_ocupados_n_total;dom_ocupados_completude;mulheres_n_validos;mulheres_n_total;mulheres_completude;c0_4_n_validos;c0_4_n_total;c0_4_completude;c5_9_n_validos;c5_9_n_total;c5_9_completude;i60_69_n_validos;i60_69_n_total;i60_69_completude;i70m_n_validos;i70m_n_total;i70m_completude;indigenas_n_validos;indigenas_n_total;indigenas_completude;pretos_pardos_n_validos;pretos_pardos_n_total;pretos_pardos_completude;dom_agua_n_validos;dom_agua_n_total;dom_agua_completude;dom_esgoto_n_validos;dom_esgoto_n_total;dom_esgoto_completude;n_resp_n_validos;n_resp_n_total;n_resp_completude;renda_resp_n_validos;renda_resp_n_total;renda_resp_completude;dens_n_validos;dens_n_total;dens_completude;na_bacia;status_borda_bacia;metodo_area_bacia;metodo_na_bacia;municipio;cod_mun;mun_pct_na_bacia;mun_pop_total;mun_pop_na_bacia;mun_ubs_iede;mun_hospitais_iede;mun_escolas_iede;mun_bombeiros_iede;mun_servicos_cobertura;mun_icm_faixa;mun_icm_pontos;mun_icm_prioritario;mun_ubs_iede_status;mun_hospitais_iede_status;mun_escolas_iede_status;mun_bombeiros_iede_status;mun_icm_atualizado_em;mun_icm_versao
430066105000003;358;False;215;0;156;0;22;0;21;0;45;0;31;0;0;0;118;0;138;0;73;0;;1;3978.89;0;138;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";1.8;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;André da Rocha;4300661;100.0;1135;1135;1;;2;;cadastro_IEDE_parcial_nao_inventario;C;8;não;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430066105000004;206;False;178;0;90;0;;1;7;0;41;0;33;0;;1;70;0;84;0;59;0;;1;2508.41;0;84;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";1.6;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;André da Rocha;4300661;100.0;1135;1135;1;;2;;cadastro_IEDE_parcial_nao_inventario;C;8;não;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430066105000005;571;False;251;0;296;0;29;0;39;0;68;0;66;0;5;0;136;0;215;0;215;0;48;0;2674.29;0;215;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";702.6;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;André da Rocha;4300661;100.0;1135;1135;1;;2;;cadastro_IEDE_parcial_nao_inventario;C;8;não;published;unknown;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070305000001;818;False;342;0;440;0;45;0;50;0;81;0;66;0;0;0;87;0;305;0;305;0;;1;2810.28;0;305;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";1626.8;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070305000002;569;False;278;0;303;0;26;0;26;0;49;0;82;0;0;0;35;0;244;0;243;0;56;0;3187.79;0;244;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";2158.7;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070305000003;343;False;128;0;156;0;21;0;20;0;53;0;50;0;0;0;;1;106;0;69;0;0;0;5165.43;0;106;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";17.2;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070305000004;335;False;174;0;160;0;13;0;;1;54;0;46;0;0;0;19;0;111;0;86;0;0;0;4784.04;0;111;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";15.2;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070305000005;144;False;96;0;63;0;;1;0;0;38;0;25;0;0;0;8;0;55;0;43;0;0;0;7599.85;0;55;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";4.4;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070305000006;311;False;156;0;146;0;15;0;9;0;42;0;45;0;0;0;5;0;106;0;60;0;0;0;7508.55;0;106;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";10.1;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070305000007;213;False;110;0;109;0;12;0;9;0;28;0;47;0;0;0;7;0;89;0;89;0;8;0;2510.28;0;89;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";399.6;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070305000008;538;False;248;0;255;0;19;0;29;0;84;0;68;0;0;0;;1;203;0;180;0;13;0;5823.71;0;203;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";24.7;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430070305000009;283;False;149;0;133;0;11;0;10;0;54;0;39;0;0;0;18;0;107;0;106;0;;1;1965.73;0;107;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";9.3;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Anta Gorda;4300703;100.0;5957;5957;2;1;8;;cadastro_IEDE_parcial_nao_inventario;C;11;sim;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
