MODELO;TIPO;PLAN;input;faixaEntrada;faixaSaida;CEL;SERIE;nh;nit;Cic;J;N_GERAL;N_TREINO;N_VALIDACAO;N_TESTE;NASH_GERAL;NASH_TREINO;NASH_VALIDACAO;NASH_TESTE;PERS_GERAL;PERS_TREINO;PERS_VALIDACAO;PERS_TESTE;MAE_GERAL;MAE_TREINO;MAE_VALIDACAO;MAE_TESTE;E95_GERAL;E95_TREINO;E95_VALIDACAO;E95_TESTE;CORR_GERAL;CORR_TREINO;CORR_VALIDACAO;CORR_TESTE;arquivo_mat
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;alt;VAR;15;H2:V1501;W2:W1501;Z2:Z1501;Y2:Y1501;32;10;100000;62;1500;681;316;503;0.9813272737;0.9779602704;0.9782304028;0.9817157641;0.7587701186;0.7401114293;0.7740427953;0.7669331886;33.1497032787;30.8154894819;29.5702601692;38.5586567941;92.2468606876;77.1596373079;69.5465253986;108.5221832818;0.9910134639;0.9896971018;0.9898225094;0.9910266180;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\006_MUC_H04_CONTROLE_15INPUTS_NH32_S06.mat
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;alt;VAR;9;H2:P1501;Q2:Q1501;T2:T1501;S2:S1501;48;10;100000;2947;1500;681;316;503;0.9808266095;0.9759827785;0.9775469094;0.9821525246;0.7523021205;0.7167931957;0.7669484869;0.7725005195;30.9024948278;29.6047515929;27.0867424484;35.0566516766;99.8478197731;92.6369678616;100.3534513310;104.6570127709;0.9904398610;0.9880744893;0.9888142060;0.9912218381;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07.mat
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;alt;VAR;8;H2:O1501;P2:P1501;S2:S1501;R2:R1501;56;10;100000;652;1500;681;316;503;0.9904733288;0.9869652478;0.9879031546;0.9920952936;0.8769265003;0.8462965206;0.8744409767;0.8992397215;21.9958250324;21.9886271659;20.7564538049;22.7841810063;72.6304391613;73.9470275635;77.6556672243;69.2150432935;0.9954643579;0.9940276342;0.9943792953;0.9961385966;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08.mat
009_MUC_H04_DINAMICA_CURTA_NH64_S09;alt;VAR;11;H2:R1501;S2:S1501;V2:V1501;U2:U1501;64;10;100000;189;1500;681;316;503;0.9897010660;0.9868129532;0.9885247765;0.9904450685;0.8669497646;0.8445006894;0.8808930919;0.8782045136;21.1062226919;19.9034074536;18.5507339591;24.3401225268;69.1539930647;65.4800327099;69.2269440297;73.6366212643;0.9949159807;0.9934953467;0.9944345690;0.9953302869;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\009_MUC_H04_DINAMICA_CURTA_NH64_S09.mat
010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10;alt;VAR;13;H2:T1501;U2:U1501;X2:X1501;W2:W1501;72;10;100000;88;1500;681;316;503;0.9826755888;0.9799089101;0.9810341465;0.9824795715;0.7761887799;0.7630894420;0.8031442116;0.7766693445;25.4361520816;22.9354118807;21.3236331564;31.4054563703;83.9447323028;66.6606350871;64.8161624944;113.8645622742;0.9914117589;0.9900212397;0.9907983937;0.9913939908;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\010_MUC_H04_NIVEL_DINAMICA_CURTA_STZ_NH72_S10.mat
004_MUC_H02_DINAMICA_CURTA_NH64_S04;alt;VAR;11;H2:R1561;S2:S1561;V2:V1561;U2:U1561;64;10;100000;32650;1560;743;316;501;0.9984584820;0.9978177698;0.9979049061;0.9988433284;0.9401357872;0.9433163858;0.9170502395;0.9435190584;8.8883662591;8.6170381089;8.0738813368;9.8044821295;29.7589508346;29.6466904604;25.6569066312;32.6338314468;0.9992423480;0.9989108205;0.9989994697;0.9994692255;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\004_MUC_H02_DINAMICA_CURTA_NH64_S04.mat
014_MUC_H08_CHUVA_JANELAS_NH64_S14;alt;VAR;11;H2:R682;S2:S682;V2:V682;U2:U682;64;10;100000;3805;681;293;132;256;0.9705276639;0.9761637845;0.9459510995;0.9667850541;0.9064996232;0.9223668931;0.8640238096;0.8968847804;45.1084808123;45.2300155717;45.3344884154;44.8528453119;131.8824192847;128.4581279712;128.1463329748;137.4334892021;0.9855873888;0.9880344770;0.9734638531;0.9853678633;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\014_MUC_H08_CHUVA_JANELAS_NH64_S14.mat
020_MUC_H12_CHUVA_E_DINAMICA_CURTA_NH72_S20;alt;VAR;8;H2:O639;P2:P639;S2:S639;R2:R639;72;10;100000;14767;638;254;132;252;0.9169209582;0.9522250286;0.8251302344;0.8980089826;0.8303026581;0.8489046398;0.7796260371;0.8398837571;60.4211664651;53.8091364592;64.5342623067;64.9311941256;239.9627213252;171.3907394960;268.9025894614;255.6831441574;0.9581265613;0.9758679067;0.9087003762;0.9510144001;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\80_FILA_MATLAB_MUCUM_LINHA_A_LINHA_VARIANTES_20260913\mat\020_MUC_H12_CHUVA_E_DINAMICA_CURTA_NH72_S20.mat
